mmsi_1,mmsi_2,start_time,end_time,duration_min,lat,lon
525001136,525007392,2024-06-17 16:00:00+00:00,2024-09-16 04:00:00+00:00,48,-5.94412501736111,105.98983383680554
525001136,525012215,2024-06-02 21:30:00+00:00,2024-07-22 05:30:00+00:00,178,-5.952045407303369,105.98487237827715
525001136,525015491,2024-06-05 17:00:00+00:00,2024-08-17 18:30:00+00:00,198,-5.9487858964646465,105.98382877946128
525001136,525015868,2024-06-10 16:00:00+00:00,2024-09-23 00:00:00+00:00,59,-5.908956016949153,105.9335686723164
525001136,525015932,2024-06-02 21:30:00+00:00,2024-09-16 14:00:00+00:00,151,-5.951695805739514,105.98558316777041
525001136,525019293,2024-06-02 21:30:00+00:00,2024-06-11 13:00:00+00:00,60,-5.955738972222222,105.98429963888888
525001136,525019637,2024-06-03 00:30:00+00:00,2024-09-28 13:30:00+00:00,41,-5.950213841463413,105.99022156504064
525001136,525021037,2024-06-06 15:00:00+00:00,2024-09-29 19:00:00+00:00,75,-5.948781488888888,105.98889546666666
525001136,525021421,2024-08-03 01:30:00+00:00,2024-09-24 22:00:00+00:00,61,-5.84703918032787,105.82260229508198
525001136,525022100,2024-06-02 21:30:00+00:00,2024-08-13 01:00:00+00:00,155,-5.947675322580646,105.98007539784946
525001136,525022330,2024-06-06 12:30:00+00:00,2024-10-01 00:30:00+00:00,106,-5.947221588050314,105.98696386792452
525001136,525023144,2024-06-03 00:30:00+00:00,2024-09-15 10:00:00+00:00,75,-5.948051266666666,105.98604549999999
525001136,525024001,2024-06-02 21:30:00+00:00,2024-10-01 00:30:00+00:00,342,-5.949439783138402,105.98543409356726
525001136,525024295,2024-06-17 05:00:00+00:00,2024-09-26 01:00:00+00:00,88,-5.892578229166667,105.89681993371211
525001136,525100582,2024-06-02 22:00:00+00:00,2024-09-15 22:30:00+00:00,73,-5.9528388470319635,105.98800797945205
525001136,525100600,2024-06-05 14:30:00+00:00,2024-10-01 00:30:00+00:00,227,-5.947732338472834,105.9884437958884
525001136,525100688,2024-06-03 16:30:00+00:00,2024-09-29 20:00:00+00:00,53,-5.947297342767295,105.9919404716981
525001136,525100695,2024-06-11 10:30:00+00:00,2024-09-28 12:00:00+00:00,70,-5.929505321428571,105.95703397619049
525001136,525100777,2024-06-09 07:00:00+00:00,2024-09-15 12:30:00+00:00,46,-5.946016286231883,105.99100086956523
525001136,525200031,2024-06-05 13:30:00+00:00,2024-09-25 10:00:00+00:00,54,-5.9448799074074055,105.98899370370374
525001136,525200126,2024-06-17 10:30:00+00:00,2024-10-01 00:30:00+00:00,141,-5.9451271926713956,105.98136872340426
525001136,525200335,2024-06-16 03:00:00+00:00,2024-09-28 01:00:00+00:00,43,-5.943714534883721,105.98492521317829
525001136,525200374,2024-06-02 21:30:00+00:00,2024-10-11 04:00:00+00:00,101,-5.943526163366338,105.96870301980196
525001136,525201093,2024-06-03 08:30:00+00:00,2024-10-01 00:30:00+00:00,205,-5.949878943089431,105.98711982113821
525001136,525400839,2024-06-09 21:00:00+00:00,2024-09-21 23:30:00+00:00,87,-5.947269070881227,105.98865062260538
525001136,525701439,2024-07-10 18:30:00+00:00,2024-09-21 08:30:00+00:00,38,-5.945346425438596,105.98299004385966
